product_no,product_name,category,category_name
1,네스프레소 버츄오플러스,coffee_machine,커피머신
2,쿠쿠 인덕션 3구,induction,인덕션
3,애플 에어팟 프로 3,earbuds,무선이어폰
4,루메나 가습기,humidifier,가습기
5,에브리봇 침구 로봇 X1,bedding_robot,침구로봇
6,한경희 UV 침구청소기,bedding_cleaner,침구청소기
7,한샘 샘 책장 5단,bookshelf,책장
8,데스커 6단 책상세트,desk,책상
9,시디즈 아이블 의자,chair,의자
10,지누스 매트리스,mattress,매트리스
